ID;Stress;Resolucao;UF;Cidade;Origem_reclamacao;Data_reclamacao;Data_primeira_interacao;Problemas;Nota;Retorno_negocio;Quantidade_interacoes;Data_criacao_ultima_interacao;tempo_espera_primeira;tempo_total_atendimento;dia_semana_reclamacao;dia_semana_primeira_interacao;dia_semana_ultima_interacao;ano_reclamacao;ano_primeira_interacao;ano_ultima_interacao;dia_reclamacao;dia_primeira_interacao;dia_ultima_interacao;mes_reclamacao;mes_primeira_interacao;mes_ultima_interacao;hora_reclamacao;hora_primeira_interacao;hora_ultima_interacao;min_reclamacao;min_primeira_interacao;min_ultima_interacao;grupo_notas
92191931;60,528344700000005;1;15;47;2;2019-06-06 12:46:33;2019-06-25 12:23:50;0;4;0;2;2019-06-25 13:08:21;27337,283333333333;27381,8;3;1;1;2019;2019;2019;6;25;25;6;6;6;12;12;13;46;23;8;0
92193207;56,66553476;1;7;161;2;2019-06-06 13:24:37;2019-06-10 16:53:05;9;8;1;2;2019-06-19 13:56:47;5968,466666666666;18752,166666666668;3;0;2;2019;2019;2019;6;10;19;6;6;6;13;16;13;24;53;56;2
92193275;41,70520691;1;2;87;1;2019-06-06 13:26:14;2019-06-07 12:25:27;37;10;1;2;2019-07-02 16:02:53;1379,2166666666667;37596,65;3;4;1;2019;2019;2019;6;7;2;6;6;7;13;12;16;26;25;2;2
92193429;35,31656486;1;3;52;2;2019-06-06 13:29:33;2019-06-06 15:03:55;14;10;1;2;2019-06-06 15:20:11;94,36666666666666;110,63333333333334;3;3;3;2019;2019;2019;6;6;6;6;6;6;13;15;15;29;3;20;2
92195021;61,62864149;1;20;163;2;2019-06-06 14:09:59;2019-06-19 17:05:37;36;8;1;2;2019-06-24 14:02:17;18895,633333333335;25912,3;3;2;0;2019;2019;2019;6;19;24;6;6;6;14;17;14;9;5;2;2
92195668;36,02750523;1;13;134;0;2019-06-06 14:27:01;2019-06-06 14:46:31;26;5;0;2;2019-06-17 22:42:19;19,5;16335,3;3;3;0;2019;2019;2019;6;6;17;6;6;6;14;14;22;27;46;42;0
92196621;53,56930868;0;8;167;2;2019-06-06 14:48:22;2019-06-11 13:18:10;18;0;0;3;2019-06-14 15:17:01;7109,8;11548,65;3;1;4;2019;2019;2019;6;11;14;6;6;6;14;13;15;48;18;17;0
92197831;63,59316438;1;20;163;2;2019-06-06 15:21:27;2019-06-06 17:21:03;33;10;1;2;2019-06-13 10:34:10;119,6;9792,716666666667;3;3;3;2019;2019;2019;6;6;13;6;6;6;15;17;10;21;21;34;2
92198175;63,95585222;1;20;163;2;2019-06-06 15:29:39;2019-06-06 17:22:04;11;10;1;2;2019-06-13 10:34:32;112,41666666666667;9784,883333333333;3;3;3;2019;2019;2019;6;6;13;6;6;6;15;17;10;29;22;34;2
92198339;48,70867287;1;8;104;2;2019-06-06 15:33:56;2019-06-06 17:01:00;34;10;1;4;2019-06-26 15:33:57;87,06666666666666;28800,016666666666;3;3;2;2019;2019;2019;6;6;26;6;6;6;15;17;15;33;1;33;2
